Title,Author
The Reluctant Heroes,Frank M. Robinson
Perfect Answer,L. J. Stecher
Flying Machines Today,William Duane Ennis
Dumbwaiter,James Stamers
A Garden Diary,Emily Lawless
East In The Morning,David E. Fisher
"The Donkey, the Elephant, and the Goat",Jack Preston
"The East India Vade-Mecum, Vol. 2 of 2",Thomas Williamson
"Narrative and Critical History of America, Vol. 5 of 8",Various
"Self-Control, Its Kingship and Majesty",William George Jordan
The Love of Monsieur,George Gibbs
Two Poems,Henry Rutgers Conger
A Pail of Air,Fritz Leiber
A Husband for My Wife,William W. Stuart
The Analysis of Beauty,William Hogarth
"A narrative of the sufferings, preservation and deliverance, of Capt. John Dean and company",John Dean
Was John Bunyan a Gipsy?,James Simson
The Fate:,George Payne Rainsford James
John Bunyan and the Gipsies,James Simson
"Lippincott's Magazine of Popular Literature and Science, Vol. 26, November, 1880",Various
Those Holy Fields: Palestine,Samuel Manning
Capture and Escape,John Azor Kellogg
Moral Equivalent,Kris Neville
The Border and the Buffalo,John R. Cook
Sordman the Protector,Tom Purdom
"Claudian, Vol. 2 of 2",Claudius Claudianus
"Claudian, Vol. 1 of 2",Claudius Claudianus
A Beginner's Psychology,Edward Bradford Titchener
Third Reader,"W. A. McIntyre, John Dearness, and John C. Saul"
Taxidermy without a Teacher,Walter Porter Manton
Hyde Park from Domesday-book to Date,John Ashton
Boy of My Heart,Marie Connor Leighton
Bullet With His Name,Fritz Leiber
"The Business, As Usual",Jack Sharkey
An Elephant for the Prinkip,L.J. Stecher
Hunt the Hunter,Kris Neville
Stories from The Arabian Nights,Laurence Housman
The Bird Watcher in the Shetlands,Edmund Selous
That Which Hath Wings,Richard Dehan
Glorious Deeds of Australasians in the Great War,E. C. Buley
Henry D. Thoreau,F. B. Sanborn
The Autobiography of a Super-Tramp,William H. Davies
"Southern Literary Messenger, Vol. 1, No. 1, August, 1834",Various
In the path of the alphabet,Frances Jermain
Man in a Quandary,L. J. Stecher
License to Steal,Louis Newman
"""1812"" Napoleon I in Russia",Vasilïĭ Vasilʹevich Vereshchagin
Poems,Jamie Harris Coleman
...So They Baked a Cake,Winston Marks
The Ignoble Savages,Evelyn E. Smith
Hamewith,Charles Murray
The Campaign in Russian Poland,Percy Cross Standing
Dr. Elsie Inglis,Lady Frances Balfour
Public School Life,Alec Waugh
Angel's Egg,Edgar Pangborn
Sea Legs,Frank Quattrocchi
Plain Living,Rolf Boldrewood
"Cicero: Letters to Atticus, Vol. 3 of 3",Marcus Tullius Cicero
Growing Up On Big Muddy,Charles V. de Vet
People Soup,Alan Arkin
Not a Creature Was Stirring,Dean Evans
Survival Type,J. F. Bone
"Toadstools, mushrooms, fungi, edible and poisonous; one thousand American fungi",Charles McIlvaine and Robert K. Macadam
Hafiz in London,Hafiz
Famous Imposters,Bram Stoker
"Sixth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1884-'85","J. W. Powell, Director"
Redemption,Edward Hoare
The History of the Prince of Wales' Civil Service Rifles,Anonymous
"Mask and Faces, or, Before and Behind the Curtain",Tom Taylor and Charles Reade
Cawnpore,G. O. Trevelyan
"National Geographic Magazine, Vol. 2, No. 2, May, 1890",Various
Time In the Round,Fritz Leiber
The Music Master of Babylon,Edgar Pangborn
"Historical Record of the Fourth, or Royal Irish Regiment of Dragoon Guards",Richard Cannon
The Golden Gems of Life,S. C. Ferguson and E. A. Allen
Slaveholding,Charles Fitch
"Life of Father Ignatius of St. Paul, Passionist",Rev. Father Pius A Sp. Sancto
"A Queen of Tears, Vol. 2 of 2",William Henry Wilkins
"A Queen of Tears, Vol. 1 of 2",William Henry Wilkins
Poems: Pastoral and Psalm,Benjamin Copeland
Ignaz Jan Paderewski,Edward Algernon Baughan
Double Standard,Alfred Coppel
Lex,W. T. Haggert
Birds of a Feather,Robert Silverberg
"Gutenberg, and the Art of Printing",Emily Clemens Pearson
The Birth of Tragedy,Friedrich Nietzsche
The Iliads of Homer,Homer
Patty's Fortune,Carolyn Wells
Dr. Kometevsky's Day,Fritz Leiber
Agnes Sorel,George Payne Rainsford James
The Spicy Sound of Success,Jim Harmon
No Substitutions,Jim Harmon
"Submarines, Mines, and Torpedoes in the War",Charles William Domville-Fife
Poem Outlines,Sidney Lanier
Voyage to Far N'jurd,Kris Neville
Motor Matt's Reverse,Stanley R. Matthews
Citizen Jell,Michael Shaara
Nine Thousand Miles On A Pullman Train,Milton Shaw
"The Mentor: The Metropolitan Museum of Art, Vol. 6, No. 9, Serial No. 157, June 15, 1918",Sydney P. Noe
The Man Outside,Evelyn E. Smith
What is Posat?,Phyllis Sterling Smith
Fresh Air Fiend,Kris Neville
The Story of Elizabeth Canning Considered,John Hill
To The Fore With the Tanks!,Percy F. Westerman
"Swenson, Dispatcher",R. DeWitt Miller
I Am A Nucleus,Stephen Barr
Turkey; the Awakening of Turkey; the Turkish Revolution of 1908,Edward Frederick Knight
The Hand Phrenologically Considered,Anonymous
"The Principles of Chemistry, Vol, 1 of 2",Dmitry Ivanovich Mendeleyev 51326
"The Mentor: The Incas, Vol. 6, No. 3, Serial No. 151, March 15, 1918",Osgood Hardy
Prime Difference,Alan E. Nourse
Break a Leg,Jim Harmon
Woodcraft Boys at Sunset Island,Lillian Elizabeth Roy and May Folwell Hoisington
Prisoner of the Mill,Harry Hazelton
The Fight Against Lynching,Anonymous
How?,Kennedy Holbrook
In Bad Company and other stories,Rolf Boldrewood
Make Me An Offer,Con Blomberg
My Lady Greensleeves,Frederik Pohl
My Strange Rescue,J. Macdonald Oxley
This House To Let,William Le Queux
A Dog Day,Walter Emanuel
Confidence Game,Jim Harmon
A Touch of E Flat,Joe Gibson
English Coins and Tokens,Llewellynn Jewitt and Barclay V. Head
"Spanish America, Vol. 2 of 2",Sir Richard Henry Bonnycastle
Ibrahim Pasha,Hester Donaldson Jenkins
ASCE 1190 The Valuation of Public Service Corporation Property,Henry Earle Riggs
The Pilot and the Bushman,Sylvia Jacobs
The Sense of Wonder,Milton Lesser
The Man Who Was Six,F. L. Wallace
"The Mysteries of London, Vol. 2 of 4",George W. M. Reynolds
The Law and Medical Men,Robert Vashon Rogers
"Trial of the Major War Criminals Before the International Military Tribunal, Vol. 1",Various
"Narrative and Critical History of America, Vol. 4 of 8",Various
Memories of the Kaiser's Court,Anne Topham
Man of Distinction,Michael Shaara
Pen Pal,Milton Lesser
With Cavalry in 1915,Frederic Coleman
The Ways of the Planets,Martha Evans Martin
Lords and Lovers,Olive Tilford Dargan
Elijah Kellogg,Various
Newfoundland to Cochin China,Mrs. Howard Vincent
Grace O'Malley,Robert Machray
A Summer's Poems,F. J. Lys
The Sleeping Beauty and other fairy tales,Arthur Quiller-Couch and Charles Perrault
Ambition,William L. Bade
Advance Agent,Christopher Anvil
The History of the Highland Clearances,Alexander Mackenzie
The Girls From Earth,Frank M. Robinson
End as a Hero,Keith Laumer
The Last of the Mortimers,Margaret Oliphant
"Harper's Round Table, December 31, 1895",Various
The Scarecrow of Oz,L. Frank Baum
"The Jesuit Relations and Allied Documents, Vol. 6: Quebec, 1633-1634",Various
Stirling Castle,Eric Stair-Kerr
"The Pantropheon or, History of Food, its Preparation, from the Earliest Ages of the World",Alexis Soyer
A Bad Day for Vermin,Keith Laumer
The Furious Rose,Dean Evans
The Cool War,Andrew Fetler
Chain Reaction,Boyd Ellanby
The Welding of the Race,John E. W. Wallis
"A plain and literal translation of the Arabian nights entertainments, now entitled The Book of the Thousand Nights and a Night, Vol. 1 of 17",Richard F. Burton
Morley Ernstein,George Payne Rainsford James
"The Thirty-Ninth Regiment Massachusetts Volunteers, 1862-1865",Alfred Seelye Roe
Spacemen Die at Home,Edward W. Ludwig
The Library of Entertainment Handbook,John Chilton Scammell
Dead End,Wallace Macfarlane
Great Disasters and Horrors in the World's History,A. H. Godbey
Journal of Small Things,Helen Mackay
The Livestock Producer and Armour,Armour and Company
"The life of Midhat Pasha; a record of his services, political reforms, banishment, and judicial murder",Ali Haydar Midhat
Electricity in Locomotion,Adam Gowens Whyte
Bridge Crossing,Dave Dryfoos
The Addicts,William Morrison
The Modern Athens,Robert Mudie
The Pride of Jennico,Agnes Castle and Egerton Castle
Robert Helmont,Alphonse Daudet
Zeritsky's Law,Ann Griffith
The Marching Morons,C. M. Kornbluth
"Psychotennis, Anyone?",Lloyd Williams
Syndrome Johnny,Charles Dye
The Reformation and the Renaissance,Frederick William Bewsher
The Flower-Patch Among the Hills,Flora Klickmann
Conneticut Wide Awake Songster,Various
Billy in Bunbury,Royal Baking Powder Company
A Captive at Carlsruhe and Other German Prison Camps,Joseph Lee
Princess Badoura,Laurence Housman
"Proceedings of the New York Historical Association, 1906",Various
Footprints of the Redmen,E. M. Ruttenber
"Bridge, its Priciples and Rules of Play",J. B. Elwell
"Two diaries From Middle St. John's, Berkeley, South Carolina, February-May, 1865","Susan Ravenel Jervey, Charlotte St. Julien Ravenel and Mary Rhodes Waring Henagan"
The Art of Bookbinding,Joseph W. Zaehnsdorf
The Flag and Other Poems,Amy Redpath Roddick
A Rebel's Recollections,George Cary Eggleston
"I, the Unspeakable",Walt Sheldon
Babes in the Bush,Rolf Boldrewood
"The Harmsworth Magazine, Vol. 1, 1898-1899, No. 4",Various
"True Stories of the Great War, Vol. 6 of 6",Various
Bennett's Small House Catalog 1920,"Ray H. Bennet Lumber Co., Inc"
Corticelli Home Needlework 1898,Various
A Coffin for Jacob,Edward W. Ludwig
Name Your Symptom,Jim Harmon
Volpla,Wyman Guin
Passamaquoddy Texts,John Dyneley Prince
Teddy Bears,Adah Louise Sutton
The Web of Time,Robert E. Knowles
"What to Eat, How to Serve it",Christine Terhune Herrick
"The Chautauquan, Vol. 4, No. 1, October 1883",The Chautauquan Literary and Scientific Circle
Camp Court and Siege,Wickham Hoffman
Made to Measure,William Campbell Gault
Pictures Don't Lie,Katherine MacLean
Nooks and Corners of Lancashire and Cheshire.,James Croston
"The Hymns of Ann Griffiths, of Dolwar Fechan",Ann Griffiths
The Lover's Baedeker and Guide to Arcady,Carolyn Wells
The Captain's Story,William S. Martin
A Visit to the Mammoth Cave of Kentucky,John Wilson
All Jackson's Children,Daniel F. Galouye
Inside Earth,Poul Anderson
"History of Greece, Vol. 10 of 12",George Grote
"History of Greece, Vol. 9 of 12",George Grote
"History of Greece, Vol. 7 of 12",George Grote
Santa Claus Gets His Wish,Blanche Proctor Fisher
Legends of Lancashire,Peter Landreth
"The captivity, sufferings, and escape of James Scurry",James Scurry
Source Book of London History,P. Meadows
The Man in Black,George Payne Rainsford James
The Stately Homes of England,Llewellynn Frederick William Jewitt and Samuel Carter Hall
A Little Journey,Ray Bradbury
The Fire and the Sword,Frank M. Robinson
Section Cutting and Staining,Walter S. Colman
Operation Distress,Lester del Rey
Butterfly 9,Donald Keith
Mrs. Loudon's Entertaining Naturalist,Jane Loudon
The Regimental Records of the British Army,John S. Farmer
The Convict,George Payne Rainsford James
The Australian Victories in France in 1918,Sir John Monash
Degeneration,Max Nordau
XXXII Ballades in Blue China,Andrew Lang
The Train Wire,J. A. Anderson  ]
A Complete Dictionary of Synonyms and Antonyms,Samuel Fallows
Fairlop and its Founder,Famed First Friday Fairgoer
The Semantic War,Bill Clothier
Appointment In Tomorrow,Fritz Leiber
Venus is a Man's World,William Tenn
Common Denominator,John D. MacDonald
"Asmodeus; or, The Devil on Two Sticks",Alain-René Le Sage
The Waterloo Roll Call,Charles Dalton
The Times Red Cross Story Book,Various
"Charle Bell, The Waif of Elm Island",Rev. Elijah Kellogg
The Bible and Polygamy,"Orson Pratt, J. P. Newman, George A. Smith, and George Q. Cannon"
Cause of Death,Max Tadlock
Nothing But the Best,Alan Cogan
"The Most Extra Ordinary Trial of William Palmer for the Rugeley Poisonings, which lasted Twelve Days",Anonymous
A Book of Dartmoor,Sabine Baring-Gould
How to Use the Popular Science Library; History of Science; General Index,Garrett Serviss and Arthur Selwyn-Brown
Whiskaboom,Alan Arkin
A voyage to Spitzbergen,John Laing
A Gift from Earth,Manly Banister
Greek Dress,Ethel Beatrice Abrahams
Motor Matt on the Wing,Stanley R. Matthews
The Princess and the Physicist,Evelyn E. Smith
Mars is my Destination,Frank Belknap Long
Paddington: Past and Present,William Robins
The Men in the Walls,William Tenn
Spoken For,William Morrison
A History of Southern Missouri and Northern Arkansas,William Monks
Free Russia,William Hepworth Dixon
The Geologic Story of Arches National Park,S. W. Lohman
Transfer Point,Anthony Boucher
"Plays, Vol. 2",John Vanbrugh
"Plays, Vol. 1",John Vanbrugh
The Other Now,Murray Leinster
"The Mentor: Julius Caesar, Vol. 6, No. 2, Serial No. 150, March 1, 1918",George Willis Botsford
Elocution Simplified,Walter K. Fobes
"Medley Dialect Recitations Comprising A Series of The Most Popular Selections in German, French, and Scotch",Various
Woman and Puppet,Pierre Louÿs
"The Mentor: The Story of Coal, Vol. 6, No. 6, Serial No. 154, May 1, 1918",Charles Fitzhugh Talman
"My Memoirs, Vol. 6, 1832-1833",Alexandre Dumas
A Chautauqua Idyl,Grace Livingston Hill
The Sentimentalists,Murray Leinster
Nice Girl With 5 Husbands,Fritz Leiber
"Chambers's Journal of Popular Literature, Science, and Art, No. 726, November 24, 1877",Various
"Amadís of Gaul, Vol. 2 of 4",Vasco Lobeira
Heroines of Mormondom,Various
The Mormons,Thomas L. Kane
Book of Mormon Stories,Anonymous
The Spy,Maksim Gorky
Rattle OK,Harry Warner
The Deep One,Neil P. Ruzic
A Polyglot of Foreign Proverbs,Henry Bohn
Did Betsy Ross Design the Flag of the United States of America?,Franklin Hanford
The History of the First United States Flag,J. Franklin Reigart
History of the Scottish Regiments in the British Army,Archibald K. Murray
"Raymond, or Life and Death",Sir Oliver J. Lodge
Helen's Babies,John Habberton
Coming Attraction,Fritz Leiber
The Amateurs,Alan Cogan
Among the Burmans,Henry Park Cochrane
"Ned, Bob and Jerry at Boxwood Hall",Clarence Young
Venoms,A. Calmette
The Amateur Diplomat,Hugh S. Eayrs and Thomas B. Costain
"Aaron Rodd, Diviner",Edward Phillips Oppenheim
A Stone and a Spear,Raymond F. Jones
Don't Shoot,Robert Zacks
Little Almond Blossoms,Jessie Juliet Knox
Shamar's War,Kris Neville
Raiders of the Sarhad,Reginald Edward Harry Dyer
Agatized Rainbows,Harold J. Brodrick
Living Too Fast,Oliver Optic
The Japan-Russia War,Sydney Tyler
The History and Romance of Crime: German and Austrian Prisons,Arthur George Frederick Griffiths
Rubáiyát of a Motor Car,Carolyn Wells
"John Call Dalton, M.D., U.S.V.",John Call Dalton
New Lights on Old Paths,Charles Foster
"The Wide World Magazine, Vol. 22, No. 131, February 1909",Various
The Narrative of Arthur Gordon Pym of Nantucket,Edgar Allan Poe and Arthur Gordon Pym
Mrs. Pendleton's Four-in-hand,Gertrude Atherton
"Technical Manual No. 9-879: Motorcycle, Solo,",The United States War Department
Lady Jane Grey and Her Times,Ida Ashworth Taylor
The Battles of the British Army,Robert Melvin Blackwood
"Frenzied Liberty and The Myth of ""A Rich Man's War""",Otto Hermann Kahn
The Wolf-Leader,Alexandre Dumas
Judas Ram,Sam Merwin
Man's Best Friend,Evelyn E. Smith
The Geologic Story of Canyonlands National Park,S. W. Lohman
Pollony Undiverted,Sydney Van Scyoc
...And It Comes Out Here,Lester del Rey
"The Good Gray Poet, A Vindication",William Douglas O'Connor
The Nakimu Caves,Anonymous
The Horses of the Sahara,Eugene Daumas
Cuban Folk-Lore,L. Roy Terwilliger
Cavendish on Whist,Henry Jones
"Of Ghostes and Spirites, Walking by Night",Lewes Laveterus
Second Childhood,Clifford D. Simak
Up For Renewal,Lucius Daniel
The Invention of Printing,Theodore Low De Vinne
"Catholic World, Volume 18, October, 1873, to March, 1874",Various
More About the Squirrels,Eleanor Tyrrell
Secret Service Under Pitt,William John Fitzpatrick
The Protector,Betsy Curtis
Jaywalker,Ross Rocklynne
Germany's Fighting Machine,Ernest Flagg Henderson
The Diggers,Patrick MacGill
Brittany,Sabine Baring-Gould
The Geological History of Plants,Sir J. William Dawson
Three Days in the Village,Leo Tolstoy
Anecdotes of the Learned Pig,James Boswell and Hester Lynch Piozzi
The Pipes of War,Sir Bruce Seton and John Grant
Moral Poison in Modern Fiction,Reginald Brimley Johnson
The Ghost Camp,Rolf Boldrewood
The Novel; what it is,F. Marion Crawford
Picture Bride,William Morrison
Two Weeks in August,Frank M. Robinson
Obil Keeper of Camels,Lucia Chase Bell
My Monks of Vagabondia,Andress Floyd
"Poems, Vol. 2 of 3",George Crabbe
Korean Folk Tales,Im Bang and Yi Ryuk
"The Mentor: Beautiful Buildings of the World, Vol. 1, No. 33, Serial No. 33, September 29, 1913",Clarence Ward
School Reading By Grades: Fifth Year,James Baldwin
Med Ship Man,Murray Leinster
Delay in Transit,F. L. Wallace
Mad Barbara,Warwick Deeping
The Cambridge Book of Poetry for Children,Various
Lion Ben of Elm Island,Elijah Kellogg
Elementary Principles of Statistical Mechanics,Josiah Willard Gibbs
Fifteen Months in Dixie,William W. Day
"Spanish and Portuguese South America during the Colonial Period, Vol. 1 of 2",Robert Grant Watson
The Nostalgia Gene,Roy Hutchins
Bodyguard,Christopher Grimm
"Narrative and Critical History of America, Vol. 3 of 8",Various
"Glaciers of the Rockies and Selkirks, 2nd. ed.",Arthur Philemon Coleman and Arthur Oliver Wheeler
A Treatise on Acupuncturation,James Morss Churchill
Four Afoot,Ralph Henry Barbour
Queen Elizabeth,Edward Spencer Beesly
Garrity's Annuities,David Mason
The Freelancer,Robert Zacks
The Lion's Whelp,Amelia A. Barr
On Multiple Algebra,Josiah Willard Gibbs
The Siege and Conquest of the North Pole,George Bryce
Motor Matt's Prize,Stanley R. Matthews
"""About My Father's Business""",Thomas Archer
The Great Musicians: Purcell,William H. Cummings
The Problem Makers,Robert P. Hoskins
"An Account of the Escape of Six Federal Soldiers from Prison at Danville, Va.",William Henry Newlin
Big Ancestor,F. L. Wallace
The Origin of the Red Cross,Henry Dunant
On the Fourfold Root of the Principle of Sufficient Reason and On the Will in Nature: Two Essays,Arthur Schopenhauer
Leonora D'Orco,George Payne Rainsford James
Future Development of Japanese Dwelling Houses,Shigetsura Shiga
"Brighter Britain!, Vol. 2 of 2",William Delisle Hay
The Slipper Point Mystery,Augusta Huiell Seaman
Dave Dawson on Convoy Patrol,R. Sidney Bowen
End as a World,F. L. Wallace
Representative Women of Deseret,Augusta Joyce Crocheron
Man and the Glacial Period,G. Frederick Wright
Russia's Part in the World War,C. M. Shumsky-Solomonov
The Cities of the Sun,Elizabeth Rachel Cannon
The making of a bigot,Rose Macaulay
The Heart of the Alleghanies,Wilbur G. Zeigler and Ben S. Grosscup
State of the Union Addresses of Barack Obama,Barack Obama
"The English Rogue: Continued in the Life of Meriton Latroon, and Other Extravagants",Richard Head and Francis Kirkman
Of All Possible Worlds,William Tenn
Point of Departure,Vaughan Shelton
Salmonia,Humphrey Davy
Rose D'Albret,George Payne Rainsford James
"Motor Matt's Enemies, No. 22, July 24, 1909",Stanley R. Matthews
Wailing Wall,Roger Dee
The High Hander,William O. Turner
Sign Talk,Ernest Thompson Seaton
Man in a Sewing Machine,L.J. Stecher
"Star, Bright",Mark Clifton
Augusta Tabor,Caroline Bancroft
Finding the Worth While in the Southwest,Charles Francis Saunders
"Petrified Forest National Monument, Arizona",Dama Margaret Smith
Stories of Enchantment,Jane Pentzer Myers
Ethan Allen,Henry Hall
Hot Planet,Hal Clement
"Scientific American, Architects and Builders Edition, No. 26, Dec, 1887",Various
A Visit to Newfoundland,Mary Lydia Branch
Sweet Tooth,Robert F. Young
The Serpent River,Don Wilcox
Perpetual Peace,Immanuel Kant
"$1,000 A Plate",Jack McKenty
A Bibliography of Bibliography Or a Handy Book About Books Which Relate to Books,Joseph Sabin
Evening Incense,John Ross Macduff
The Connecticut Wits and Other Essays,Henry A. Beers
Dreadnoughts of the Dogger,Robert Leighton
The Story of Napoleon,Harold F. B. Wheeler
The Golden Key,Mrs. Georgie Sheldon
A Relic of the Revolution,Charles Herbert
The Anatomy of Suicide,Forbes Winslow
Savrola,Winston Spencer Churchill
Yesterday House,Fritz Leiber
On the Fourth Planet,J. F. Bone
Sleight of Hand,Edwin Thomas Sachs
How to Be a Detective,Old King Brady
Mam' Linda,Will N. Harben
Paul Rundel,Will N. Harben
The Haunted Pagodas: The Quest of the Golden Pearl,J. E. Hutchinson
Northern Georgia Sketches,Will N. Harben
The Rat-Pit,Patrick MacGill
"The Mentor: Bolivia, Vol. 5, No. 18, Serial 142, November 1, 1917",E. M. Newman
The Great Nebraska Sea,Allan Danzig
My Lady Selene,Magnus Ludens
The Birds of Lorrane,Bill Doede
Half past Alligator,Donald Colvin
Katherine Lauderdale; Vol. 2 of 2,F. Marion Crawford
The Weather on Mercury,William Morrison
Today is Forever,Roger Dee
"Narrative and Critical History of America, Vol. 2 of 8",Various
Introduction to the Study of Palaeontological Botany,John Hutton Balfour
'Possum,Mary Grant Bruce
Treatise on Thermodynamics,Max Planck
A Baptist Abroad,Walter Andrew Whittle
Beadle's Dime Song Book No. 5,Various
Education of a Martian,Joseph Shallit
Earthbound,Lester del Rey
The Business Library,Louise B. Krause
"Humour, Wit, & Satire of the Seventeenth Century",Various
Mediaeval Church Vaulting,Clarence Ward
Not Fit for Children,Evelyn E. Smith
A Gleeb for Earth,Charles Shafhauser
The Highest Mountain,Bryce Walton
The Life and Reign of Edward I,Robert Benton Seeley
The German Pirate,Unknown
A Story of the Telegraph,John Murray
Alien Minds,E. Everett Evans
Dolly and Molly and the Farmer Man,Elizabeth Gordon
The Ottoman Turks and the Routes of Oriental Trade,Albert H. Lybyer
"The Mentor: Joan of Arc, Vol. 3, No. 22, Serial No. 98, January 1, 1916",Ida M. Tarbell
"Heidelberg, Volumes 1 - 3",George Payne Rainsford James
St. Paul's Epistles to the Colossians and Philemon,J. B. Lightfoot
"Charles Tyrrell, Vols. 1 and 2",George Payne Rainsford James
"Man-at-Arms, Vols. 1 and 2",George Payne Rainsford James
Mary of Burgundy,George Payne Rainsford James
Ticonderoga,George Payne Rainsford James
The Bells and Other Poems,Edgar Allan Poe
"Old Court Life in France, Vol. 2 of 2",Frances Minto Dickinson Elliot 50850
"Princess Napraxine, Vol. 3 of 3",Maria Louise Ramé
Soldier Boy,Michael Shaara
Tea Tray in the Sky,Evelyn E. Smith
Mechanics of the Household,Edward Spencer Keene
Proof of the Pudding,Robert Sheckley
"The Mentor: Angels In Art, Vol. 1, No. 40, Serial No. 40, November 17, 1913",John C. Van Dyke
Green Grew the Lasses,Ruth Laura Wainwright
"Chambers's Journal of Popular Literature, Science, and Art, No. 725, November 17, 1877",Various
Higher Education for Women in Great Britain,Phoebe Sheavyn
"Princess Napraxine, Vol. 2 of 3",Maria Louise Ramé
The Luckiest Man in Denv,Simon Eisner
The Awakening,Jack Sharkey
An Australian Girl,Mrs. Alick Macleod
The River Motor Boat Boys on the Yukon,Harry Gordon
The Bark Canoes and Skin Boats of North America,Edwin Tappan Adney and Howard Irving Chapelle
Orphans of the Void,Michael Shaara
The Moons of Mars,Dean Evans
"Newark's Last Fifteen Years, 1904-1919",Newark Public Library
The Flying Machine Boys on Secret Service,Frank Walton
The Flying Boys in the Sky,Edward Ellis
Mammals of the Southwest Mountains and Mesas,George Joyce Olin
Causes of the Successes of the Ottoman Turks,James Surtees Phillpotts
Mrs. Dot,W. Somerset Maugham
A Bad Day for Sales,Fritz Leiber
How to Make Friends,Jim Harmon
Juvenile Sports or Youth's Pastimes,Anonymous
Dick Kent with the Eskimos,Milton Richards
The Origin and Development of Christian Dogma,Charles A. H. Tuthill
Frank Merriwell's Endurance,Burt L. Standish
Derelicts,James Sprunt
"Comical Pilgrim; or, Travels of a Cynick Philosopher...",Anonymous
Municipal Housecleaning,William Parr Capes and Jeanne Daniels Carpenter
The Story of Noah's Ark,E. Boyd Smith
Cupid's Cyclopedia,Oliver Herford and John Cecil Clay
"The Game Fish, of the Norther States and British Provinces",Robert Barnwell Roosevelt
Poetical Works of Robert Bridges,Robert Bridges
Italian Fantasies,Israel Zangwill
How to Be a Man,Harvey Newcomb
When We Were Strolling Players in the East,Louise Jordan Miln
"Journal of the American-Irish Historical Society, Vol. 1",Various
Through Spain to the Sahara,Matilda Betham-Edwards
In the Line,Albertus T. Dudley
"A Probable Italian Source of Shakespeare's ""Julius Cæsar""",Alexander Boecker
All But Lost Vol 2 of 3,G. A. Henty
The flowers and gardens of Japan,Florence Du Cane
Santa Claus' Message,E. Franklin Tregaskis
The Problem of Manflight,James Means
Persian Literature,Elizabeth A. Reed
Catty Atkins,Clarence Budington Kelland
India and Indian Engineering,Julius George Medley
Sonnets and Poems,Eleanor Farjeon
The Mikado Jewel,Fergus Hume
The Gates of Dawn,Fergus Hume
The Indian Bangle,Fergus Hume
Deerfoot on the Prairies,Edward S. Ellis
The Pink Shop,Fergus Hume
Treasure Of The Seas,James De Mille
Picked Up Adrift,James De Mille
Fire In The Woods,James De Mille
The Purple Fern,Fergus Hume
The Boys Of Grand Pré School,James De Mille
"The ""B. O. W. C.""",James De Mille
The Amethyst Cross,Fergus Hume
"The Young Wireless Operator, With the Oyster Fleet",Lewis E. Theiss
Poems,Cora C. Bass
The Bath Comedy,Agnes Castle and Egerton Castle
Conrad in Quest of His Youth,Leonard Merrick
Rooman keisareita marmorihahmossa,Viktor Rydberg
"Oat Meal, The War Winner",James Ritchie Grieve
Bertha's Christmas Vision: An Autumn Sheaf,Horatio Alger
Backwater,Dorothy M. Richardson
"Historical record of the Seventh Regiment, or The Royal Fusiliers",Richard Cannon
Following the Sun-Flag,John Fox
"San Francisco Relief Survey; the organization and methods of relief used after the earthquake and fire of April 18, 1906",Charles James O'Connor
"Rodney, the Overseer",Harry Castlemon
The School Four,Albertus T. Dudley
"Nazi Conspiracy and Aggression, Volume 2",Various
"Recollections of Rifleman Harris, old 95th",Benjamin Harris
The Lincoln Country in Pictures,Carl Frazier and Rosalie Frazier
"Gettysburg National Military Park, Pennsylvania",Frederick Tilberg
Strive and Succeed,Horatio Alger
My Book of Ten Fishes,Rosalie G. Mendel
Voyager 1 Encounters Saturn,the National Aeronautics and Space Administration
The Unspeakable Scot,Thomas William Hodgson Crosland
List of Post Offices in Canada 1864,Postmaster General of Canada
British Bees,William Edward Shuckard
Queen Anna's New World of Words,John Florio
Away to school: 'Ólta'góó,Cecil S. King
The Abandoned Country,Luis Senarens
Cupid's Fair-Weather Booke,Oliver Herford and John Cecil Clay ]
"The Three Voyages of Captain Cook Round the World, Vol. 1, Being the First of the First Voyage","James Cook, Joseph Banks, and Dr. Hawkesworth"
The Boy Volunteers on the Belgian Front,Kenneth Ward
The Cruel Murder of Mina Miller,Unknown
Historical Manual of English Prosody,George Saintsbury
Argentina and Uruguay,Gordon Ross
The Abounding American,Thomas William Hodgson Crosland
Brother Van,Stella W. Brummitt
The Ohio Journal of Science,Various
York and Lancaster,William Garmon Jones
The Boy Volunteers with the British Artillery,Kenneth Ward
Forward from Babylon,Louis Golding
The Island of Fantasy,Fergus Hume
Guild Court,George MacDonald
The Gray Scalp,Edward Willett
A Journey in Brazil,Louis Agassiz and Elizabeth Cabot Cary Agassiz
The Surprise Book,Patten Beard
Billy To-morrow Stands the Test,Sarah Pratt Carr
"The Viking Age, Volume 2 of 2",Paul B. Du Chaillu
"The Viking Age, Volume 1 of 2",Paul B. Du Chaillu
Word Portraits of Famous Writers,Mabel Elizabeth Wotton
Neither Here Nor There,Oliver Herford
"Illustrated Dictionary of Gardening, Division 1; A to Car",Various
The Three Furlongers,Sheila Kaye-Smith
Auroræ: Their Characters and Spectra,J. Rand Capron
The Story of Gösta Berling,Selma Lagerlöf
Nether Lochaber,Alexander Stewart
Fairy Tales from Gold Lands,May Wentworth
The Man From Bar 20,Clarence E. Mulford
Evening Tales,Jean Baptiste Frédéric Ortoli
